value,label
A+ Certification,A+ Certification
A+ certification ,A+ certification 
Network+ certification,Network+ certification
Continuing Education Certificate for Computer Support Technician,Continuing Education Certificate for Computer Support Technician
Continuing Education Certificate in A+ Certification (Small Certificate),Continuing Education Certificate in A+ Certification (Small Certificate)
Continuing Education Certificate in Computer Support Technician,Continuing Education Certificate in Computer Support Technician
Continuing Education Certificate in IT Fundamentals with Academic Skills Enhancement,Continuing Education Certificate in IT Fundamentals with Academic Skills Enhancement
Continuing Education Certificate in Installing Windows Server 2012,Continuing Education Certificate in Installing Windows Server 2012
Continuing Education Certificate in Microsoft Windows Server 2012,Continuing Education Certificate in Microsoft Windows Server 2012
IT:SECASS,IT:SECASS
Cybersecurity Certificate,Cybersecurity Certificate
"Advanced Network Security, Certificate","Advanced Network Security, Certificate"
Network Security:CER,Network Security:CER
Cyber Advantage,Cyber Advantage
A+ Enhanced Certification Program,A+ Enhanced Certification Program
INTRODUCTION TO SECURITY CLEARANCE AND BACKGROUND CHECKS,INTRODUCTION TO SECURITY CLEARANCE AND BACKGROUND CHECKS
Introduction to Security Clearances and Background Checks,Introduction to Security Clearances and Background Checks
PC Technician Basics,PC Technician Basics
