College,Program,Credential_level,Measure,Totals
BCCC,A+ Certification,Certificate (less than one year),employmentRate,0.5714286
BCCC,A+ certification ,Certificate (less than one year),employmentRate,0.7677419
BCCC,Network+ certification,Certificate (less than one year),employmentRate,1
BCCC,A+ Certification,Certificate (less than one year),retentionRate,0.4285714
BCCC,A+ certification ,Certificate (less than one year),retentionRate,0.2
BCCC,Network+ certification,Certificate (less than one year),retentionRate,1
BCCC,A+ Certification,Certificate (less than one year),medianEarning,17451.5
BCCC,A+ certification ,Certificate (less than one year),medianEarning,36344.33
BCCC,Network+ certification,Certificate (less than one year),medianEarning,29168
BCCC,A+ Certification,Certificate (less than one year),meanEarning,21148.38
BCCC,A+ certification ,Certificate (less than one year),meanEarning,39951.71
BCCC,Network+ certification,Certificate (less than one year),meanEarning,29168
BCCC,A+ Certification,Certificate (less than one year),graduationRate,0.7857143
BCCC,A+ certification ,Certificate (less than one year),graduationRate,1
BCCC,Network+ certification,Certificate (less than one year),graduationRate,1
CCBC,Network Technology,Certificate (more than one year),employmentRate,1
CCBC,Network Technology,Certificate (more than one year),retentionRate,1
CCBC,Network Technology,Certificate (more than one year),medianEarning,31294.4
CCBC,Network Technology,Certificate (more than one year),meanEarning,31294.4
CCBC,Network Technology,Certificate (more than one year),graduationRate,1
CCBC,A.A.S. Information Systems Security,Degree,employmentRate,1
CCBC,Information Systems Security,Degree,employmentRate,0.3333333
CCBC,A.A.S. Information Systems Security,Degree,retentionRate,1
CCBC,Information Systems Security,Degree,retentionRate,0.0666667
CCBC,A.A.S. Information Systems Security,Degree,medianEarning,32494.67
CCBC,Information Systems Security,Degree,medianEarning,10424
CCBC,A.A.S. Information Systems Security,Degree,meanEarning,32494.67
CCBC,Information Systems Security,Degree,meanEarning,16793.23
CCBC,A.A.S. Information Systems Security,Degree,graduationRate,1
CCBC,Information Systems Security,Degree,graduationRate,0.5333334
CCBC,Information System Security,Didnt Apply for Credential,employmentRate,0.6
CCBC,Information Systems Security,Didnt Apply for Credential,employmentRate,0.6315789
CCBC,Network Technology,Didnt Apply for Credential,employmentRate,0.625
CCBC,Information System Security,Didnt Apply for Credential,retentionRate,0.4
CCBC,Information Systems Security,Didnt Apply for Credential,retentionRate,0.0526316
CCBC,Network Technology,Didnt Apply for Credential,retentionRate,0.375
CCBC,Information System Security,Didnt Apply for Credential,medianEarning,9738.4
CCBC,Information Systems Security,Didnt Apply for Credential,medianEarning,22196
CCBC,Network Technology,Didnt Apply for Credential,medianEarning,30502.67
CCBC,Information System Security,Didnt Apply for Credential,meanEarning,15328.06
CCBC,Information Systems Security,Didnt Apply for Credential,meanEarning,25815.16
CCBC,Network Technology,Didnt Apply for Credential,meanEarning,33989.27
CCBC,Information System Security,Didnt Apply for Credential,graduationRate,1
CCBC,Information Systems Security,Didnt Apply for Credential,graduationRate,1
CCBC,Network Technology,Didnt Apply for Credential,graduationRate,1
CCC,Continuing Education Certificate for Computer Support Technician,Certificate (less than one year),employmentRate,1
CCC,Continuing Education Certificate in A+ Certification (Small Certificate),Certificate (less than one year),employmentRate,1
CCC,Continuing Education Certificate in Computer Support Technician,Certificate (less than one year),employmentRate,0.3809524
CCC,Continuing Education Certificate in IT Fundamentals with Academic Skills Enhancement,Certificate (less than one year),employmentRate,0.4545455
CCC,Continuing Education Certificate in Installing Windows Server 2012,Certificate (less than one year),employmentRate,1
CCC,Continuing Education Certificate in Microsoft Windows Server 2012,Certificate (less than one year),employmentRate,1
CCC,Continuing Education Certificate for Computer Support Technician,Certificate (less than one year),retentionRate,1
CCC,Continuing Education Certificate in A+ Certification (Small Certificate),Certificate (less than one year),retentionRate,1
CCC,Continuing Education Certificate in Computer Support Technician,Certificate (less than one year),retentionRate,0.3809524
CCC,Continuing Education Certificate in IT Fundamentals with Academic Skills Enhancement,Certificate (less than one year),retentionRate,0.4545455
CCC,Continuing Education Certificate in Installing Windows Server 2012,Certificate (less than one year),retentionRate,1
CCC,Continuing Education Certificate in Microsoft Windows Server 2012,Certificate (less than one year),retentionRate,1
CCC,Continuing Education Certificate for Computer Support Technician,Certificate (less than one year),medianEarning,104991.6
CCC,Continuing Education Certificate in A+ Certification (Small Certificate),Certificate (less than one year),medianEarning,25688.4
CCC,Continuing Education Certificate in Computer Support Technician,Certificate (less than one year),medianEarning,43332.95
CCC,Continuing Education Certificate in IT Fundamentals with Academic Skills Enhancement,Certificate (less than one year),medianEarning,26786.95
CCC,Continuing Education Certificate in Installing Windows Server 2012,Certificate (less than one year),medianEarning,104991.6
CCC,Continuing Education Certificate in Microsoft Windows Server 2012,Certificate (less than one year),medianEarning,38756
CCC,Continuing Education Certificate for Computer Support Technician,Certificate (less than one year),meanEarning,104991.6
CCC,Continuing Education Certificate in A+ Certification (Small Certificate),Certificate (less than one year),meanEarning,25688.4
CCC,Continuing Education Certificate in Computer Support Technician,Certificate (less than one year),meanEarning,44461.52
CCC,Continuing Education Certificate in IT Fundamentals with Academic Skills Enhancement,Certificate (less than one year),meanEarning,26920.68
CCC,Continuing Education Certificate in Installing Windows Server 2012,Certificate (less than one year),meanEarning,104991.6
CCC,Continuing Education Certificate in Microsoft Windows Server 2012,Certificate (less than one year),meanEarning,38756
CCC,Continuing Education Certificate for Computer Support Technician,Certificate (less than one year),graduationRate,1
CCC,Continuing Education Certificate in A+ Certification (Small Certificate),Certificate (less than one year),graduationRate,1
CCC,Continuing Education Certificate in Computer Support Technician,Certificate (less than one year),graduationRate,1
CCC,Continuing Education Certificate in IT Fundamentals with Academic Skills Enhancement,Certificate (less than one year),graduationRate,1
CCC,Continuing Education Certificate in Installing Windows Server 2012,Certificate (less than one year),graduationRate,1
CCC,Continuing Education Certificate in Microsoft Windows Server 2012,Certificate (less than one year),graduationRate,1
CCC,CERT.CYBR,Certificate (more than one year),employmentRate,0.2916667
CCC,CERT.CYBR,Certificate (more than one year),retentionRate,0.0833333
CCC,CERT.CYBR,Certificate (more than one year),medianEarning,15606.67
CCC,CERT.CYBR,Certificate (more than one year),meanEarning,26154.06
CCC,CERT.CYBR,Certificate (more than one year),graduationRate,1
CCC,CERT.CYBR1,Didnt Apply for Credential,employmentRate,0.4615385
CCC,CERT.CYBR1,Didnt Apply for Credential,retentionRate,0.0769231
CCC,CERT.CYBR1,Didnt Apply for Credential,medianEarning,24584
CCC,CERT.CYBR1,Didnt Apply for Credential,meanEarning,24584
CCC,CERT.CYBR1,Didnt Apply for Credential,graduationRate,1
CSM,AASCYBERSECUR,Certificate (more than one year),employmentRate,1
CSM,AASCYBERSECUR,Certificate (more than one year),retentionRate,1
CSM,AASCYBERSECUR,Certificate (more than one year),medianEarning,18662.4
CSM,AASCYBERSECUR,Certificate (more than one year),meanEarning,18662.4
CSM,AASCYBERSECUR,Certificate (more than one year),graduationRate,1
FCC,IT:SECASS,Certificate (less than one year),employmentRate,0.6666667
FCC,IT:SECASS,Certificate (less than one year),retentionRate,0.5
FCC,IT:SECASS,Certificate (less than one year),medianEarning,27896.95
FCC,IT:SECASS,Certificate (less than one year),meanEarning,31702.45
FCC,IT:SECASS,Certificate (less than one year),graduationRate,1
FCC,"AAS, Cybersecurity",Certificate (more than one year),employmentRate,0.6666667
FCC,"AAS, Cybersecurity",Certificate (more than one year),retentionRate,0.6666667
FCC,"AAS, Cybersecurity",Certificate (more than one year),medianEarning,28710.17
FCC,"AAS, Cybersecurity",Certificate (more than one year),meanEarning,28710.17
FCC,"AAS, Cybersecurity",Certificate (more than one year),graduationRate,1
FCC,"AAS, Cybersecurity",Degree,employmentRate,0.3333333
FCC,CYBERSECUR,Degree,employmentRate,0.3870968
FCC,"AAS, Cybersecurity",Degree,retentionRate,0.3333333
FCC,CYBERSECUR,Degree,retentionRate,0.1935484
FCC,"AAS, Cybersecurity",Degree,medianEarning,27133.6
FCC,CYBERSECUR,Degree,medianEarning,17646
FCC,"AAS, Cybersecurity",Degree,meanEarning,34323.48
FCC,CYBERSECUR,Degree,meanEarning,29491.26
FCC,"AAS, Cybersecurity",Degree,graduationRate,1
FCC,CYBERSECUR,Degree,graduationRate,1
GC,Cybersecurity Certificate,Certificate (less than one year),employmentRate,1
GC,Cybersecurity Certificate,Certificate (less than one year),retentionRate,1
GC,Cybersecurity Certificate,Certificate (less than one year),medianEarning,27621.14
GC,Cybersecurity Certificate,Certificate (less than one year),meanEarning,27621.14
GC,Cybersecurity Certificate,Certificate (less than one year),graduationRate,1
GC,Cybersecurity AAS,Degree,employmentRate,0.2307692
GC,Network Administration AAS,Degree,employmentRate,0.4285714
GC,Cybersecurity AAS,Degree,retentionRate,0.2307692
GC,Network Administration AAS,Degree,retentionRate,0.2857143
GC,Cybersecurity AAS,Degree,medianEarning,16925.94
GC,Network Administration AAS,Degree,medianEarning,7604.8
GC,Cybersecurity AAS,Degree,meanEarning,17833.83
GC,Network Administration AAS,Degree,meanEarning,10042.74
GC,Cybersecurity AAS,Degree,graduationRate,1
GC,Network Administration AAS,Degree,graduationRate,1
HagCC,"Advanced Network Security, Certificate",Certificate (less than one year),employmentRate,1
HagCC,Network Security:CER,Certificate (less than one year),employmentRate,0.5
HagCC,"Advanced Network Security, Certificate",Certificate (less than one year),retentionRate,1
HagCC,Network Security:CER,Certificate (less than one year),retentionRate,0.5
HagCC,"Advanced Network Security, Certificate",Certificate (less than one year),medianEarning,26408
HagCC,Network Security:CER,Certificate (less than one year),medianEarning,15640.8
HagCC,"Advanced Network Security, Certificate",Certificate (less than one year),meanEarning,26408
HagCC,Network Security:CER,Certificate (less than one year),meanEarning,15640.8
HagCC,"Advanced Network Security, Certificate",Certificate (less than one year),graduationRate,1
HagCC,Network Security:CER,Certificate (less than one year),graduationRate,0.75
HagCC,AAS Cybersecurity,Degree,employmentRate,0.1428571
HagCC,AS Computer Science,Degree,employmentRate,0.5
HagCC,AS Cybersecurity,Degree,employmentRate,0.6666667
HagCC,"Advanced Network Security, Certificate",Degree,employmentRate,0.8
HagCC,Computer Science: AS,Degree,employmentRate,0.3636364
HagCC,Cybersecurity:AAS,Degree,employmentRate,0.6
HagCC,Cybersecurity:AS,Degree,employmentRate,0.368421
HagCC,Network Security:CER,Degree,employmentRate,0.4
HagCC,Networking Technology Option A: AAS,Degree,employmentRate,1
HagCC,AAS Cybersecurity,Degree,retentionRate,0.1428571
