value,label
Allegany Community College,Allegany Community College
Baltimore City Community College,Baltimore City Community College
Carroll Community College,Carroll Community College
College of Southern Maryland,College of Southern Maryland
Community College of Baltimore County,Community College of Baltimore County
Frederick Community College,Frederick Community College
Garrett College,Garrett College
Hagerstown Community College,Hagerstown Community College
Harford Community College,Harford Community College
Howard Community College,Howard Community College
Montgomery College,Montgomery College
Prince George's Community College,Prince George's Community College
Training,Training
Wor-Wic Community College,Wor-Wic Community College
