College,Program,Year,Measure,Value,Formatted for Tables,,
Montgomery College,Cyber Security,2014,Graduation Rate,0.851491565,0.852,,
Montgomery College,Cyber Security,2014,Employment Rate,0.008525595,0.009,,
Montgomery College,Cyber Security,2014,Retention,0.194606673,0.195,,
Montgomery College,Cyber Security,2014,Earnings,9034.927523,"$9,035 ",,
Montgomery College,Cyber Security,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.557304577,0.557,,
Montgomery College,Accounting,2014,Graduation Rate,0.673342299,0.673,,
Montgomery College,Accounting,2014,Employment Rate,0.474302201,0.474,,
Montgomery College,Accounting,2014,Retention,0.838752157,0.839,,
Montgomery College,Accounting,2014,Earnings,8081.013558,"$8,081 ",,
Montgomery College,Accounting,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.189325573,0.189,,
Montgomery College,Management,2014,Graduation Rate,0.310515306,0.311,,
Montgomery College,Management,2014,Employment Rate,0.963841075,0.964,,
Montgomery College,Management,2014,Retention,0.689134708,0.689,,
Montgomery College,Management,2014,Earnings,9260.57809,"$9,261 ",,
Montgomery College,Management,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.014755461,0.015,,
Baltimore Community College,Cyber Security,2014,Graduation Rate,0.727937937,0.728,,
Baltimore Community College,Cyber Security,2014,Employment Rate,0.577840579,0.578,,
Baltimore Community College,Cyber Security,2014,Retention,0.143692791,0.144,,
Baltimore Community College,Cyber Security,2014,Earnings,2296.396192,"$2,296 ",,
Baltimore Community College,Cyber Security,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.790586486,0.791,,
Baltimore Community College,Accounting,2014,Graduation Rate,0.172115417,0.172,,
Baltimore Community College,Accounting,2014,Employment Rate,0.103498781,0.104,,
Baltimore Community College,Accounting,2014,Retention,0.716295285,0.716,,
Baltimore Community College,Accounting,2014,Earnings,3042.057647,"$3,042 ",,
Baltimore Community College,Accounting,2014,Inter-college Transfer Rate (Including dual enroll and online enroll),0.739608451,0.74,,
