College,College Initials,Credential_level,Measure,Totals,Blank
Allegany Community College,ACC,Certificate ,employmentRate,0.357,N
Allegany Community College,ACC,AAS Degree ,employmentRate,0.353,N
Allegany Community College,ACC,Associate Degree,employmentRate,0.313,N
Baltimore City Community College,BCCC,Non-credit Certificate,employmentRate,0.766,N
Carroll Community College,CCC,Certificate ,employmentRate,0.357,N
Carroll Community College,CCC,Non-credit Certificate,employmentRate,0.455,N
Carroll Community College,CCC,AAS Degree ,employmentRate,0.333,N
Carroll Community College,CCC,Associate Degree,employmentRate,0.553,N
Carroll Community College,CCC,Not Specified,employmentRate,0.800,N
College of Southern Maryland,CoSM,Certificate ,employmentRate,0.500,N
College of Southern Maryland,CoSM,Non-credit Certificate [No Data],employmentRate,0.050,Y
College of Southern Maryland,CoSM,AAS Degree [No Data],employmentRate,0.050,Y
College of Southern Maryland,CoSM,Associate Degree [No Data],employmentRate,0.050,Y
College of Southern Maryland,CoSM,Not Specified [No Data],employmentRate,0.050,Y
Community College of Baltimore County,CCBC,Certificate ,employmentRate,0.588,N
Community College of Baltimore County,CCBC,Non-credit Certificate [No Data],employmentRate,0.050,Y
Community College of Baltimore County,CCBC,AAS Degree ,employmentRate,0.167,N
Community College of Baltimore County,CCBC,Associate Degree,employmentRate,0.481,N
Frederick Community College,FCC,Certificate ,employmentRate,0.566,N
Frederick Community College,FCC,AAS Degree ,employmentRate,0.235,N
Frederick Community College,FCC,Associate Degree,employmentRate,0.315,N
Garrett College,GC,Certificate ,employmentRate,0.429,N
Garrett College,GC,Non-credit Certificate [No Data],employmentRate,0.050,Y
Garrett College,GC,AAS Degree ,employmentRate,0.405,N
Garrett College,GC,Associate Degree,employmentRate,0.667,N
Hagerstown Community College,HagCC,Certificate ,employmentRate,0.455,N
Hagerstown Community College,HagCC,AAS Degree ,employmentRate,0.436,N
Hagerstown Community College,HagCC,Associate Degree,employmentRate,0.535,N
Hagerstown Community College,HagCC,Not Specified,employmentRate,0.438,N
Harford Community College,HarCC,Certificate ,employmentRate,0.511,N
Harford Community College,HarCC,Associate Degree,employmentRate,0.444,N
Harford Community College,HarCC,Not Specified,employmentRate,0.500,N
Howard Community College,HowCC,Certificate ,employmentRate,1.000,N
Howard Community College,HowCC,Non-credit Certificate [No Data],employmentRate,0.050,Y
Howard Community College,HowCC,AAS Degree ,employmentRate,0.500,N
Howard Community College,HowCC,Associate Degree,employmentRate,0.667,N
Howard Community College,HowCC,Not Specified,employmentRate,0.400,N
Montgomery College,MC,Certificate ,employmentRate,0.319,N
Montgomery College,MC,AAS Degree ,employmentRate,0.393,N
Montgomery College,MC,Associate Degree,employmentRate,0.519,N
Montgomery College,MC,Not Specified,employmentRate,0.333,N
Prince George's Community College,PGCC,Non-credit Certificate,employmentRate,0.442,N
Wor-Wic Community College,WWCC,Certificate ,employmentRate,0.723,N
Wor-Wic Community College,WWCC,AAS Degree ,employmentRate,0.667,N
Wor-Wic Community College,WWCC,Associate Degree,employmentRate,0.568,N
Wor-Wic Community College,WWCC,Not Specified,employmentRate,0.489,N
Allegany Community College,ACC,Certificate [No Data],retentionRate,0.050,Y
Allegany Community College,ACC,AAS Degree ,retentionRate,0.020,N
Allegany Community College,ACC,Associate Degree [No Data],retentionRate,0.050,Y
Baltimore City Community College,BCCC,Non-credit Certificate,retentionRate,0.228,N
Carroll Community College,CCC,Certificate ,retentionRate,0.071,N
Carroll Community College,CCC,Non-credit Certificate,retentionRate,0.409,N
Carroll Community College,CCC,AAS Degree ,retentionRate,0.024,N
Carroll Community College,CCC,Associate Degree,retentionRate,0.105,N
Carroll Community College,CCC,Not Specified,retentionRate,0.400,N
College of Southern Maryland,CoSM,Certificate ,retentionRate,0.500,N
College of Southern Maryland,CoSM,Non-credit Certificate [No Data],retentionRate,0.050,Y
College of Southern Maryland,CoSM,AAS Degree [No Data],retentionRate,0.050,Y
College of Southern Maryland,CoSM,Associate Degree [No Data],retentionRate,0.050,Y
College of Southern Maryland,CoSM,Not Specified [No Data],retentionRate,0.050,Y
Community College of Baltimore County,CCBC,Certificate ,retentionRate,0.157,N
Community College of Baltimore County,CCBC,Non-credit Certificate [No Data],retentionRate,0.050,Y
Community College of Baltimore County,CCBC,AAS Degree ,retentionRate,0.167,N
Community College of Baltimore County,CCBC,Associate Degree,retentionRate,0.037,N
Frederick Community College,FCC,Certificate ,retentionRate,0.160,N
Frederick Community College,FCC,AAS Degree ,retentionRate,0.176,N
Frederick Community College,FCC,Associate Degree,retentionRate,0.082,N
Garrett College,GC,Certificate ,retentionRate,0.143,N
Garrett College,GC,Non-credit Certificate [No Data],retentionRate,0.050,Y
Garrett College,GC,AAS Degree ,retentionRate,0.297,N
Garrett College,GC,Associate Degree [No Data],retentionRate,0.050,Y
Hagerstown Community College,HagCC,Certificate ,retentionRate,0.455,N
Hagerstown Community College,HagCC,AAS Degree ,retentionRate,0.410,N
Hagerstown Community College,HagCC,Associate Degree,retentionRate,0.326,N
Hagerstown Community College,HagCC,Not Specified,retentionRate,0.188,N
Harford Community College,HarCC,Certificate ,retentionRate,0.087,N
Harford Community College,HarCC,Associate Degree,retentionRate,0.056,N
Harford Community College,HarCC,Not Specified [No Data],retentionRate,0.050,Y
Howard Community College,HowCC,Certificate ,retentionRate,0.571,N
Howard Community College,HowCC,Non-credit Certificate [No Data],retentionRate,0.050,Y
Howard Community College,HowCC,AAS Degree ,retentionRate,0.250,N
Howard Community College,HowCC,Associate Degree,retentionRate,0.304,N
Howard Community College,HowCC,Not Specified,retentionRate,0.400,N
Montgomery College,MC,Certificate ,retentionRate,0.165,N
Montgomery College,MC,AAS Degree ,retentionRate,0.124,N
Montgomery College,MC,Associate Degree,retentionRate,0.259,N
Montgomery College,MC,Not Specified,retentionRate,0.333,N
Prince George's Community College,PGCC,Non-credit Certificate,retentionRate,0.186,N
Wor-Wic Community College,WWCC,Certificate ,retentionRate,0.447,N
Wor-Wic Community College,WWCC,AAS Degree ,retentionRate,0.667,N
Wor-Wic Community College,WWCC,Associate Degree,retentionRate,0.227,N
