College,Credential_level,Totals
Allegany Community College,Certificate [No Data],N/A
Allegany Community College,AAS Degree [No Data],N/A
Allegany Community College,Associate Degree [No Data],N/A
Baltimore City Community College,Non-credit Certificate [No Data],N/A
Carroll Community College,Certificate,0.9%
Carroll Community College,Non-credit Certificate [No Data],N/A
Carroll Community College,AAS Degree [No Data],N/A
Carroll Community College,Associate Degree [No Data],N/A
Carroll Community College,Not Specified [No Data],N/A
College of Southern Maryland,Certificate,90.0%
College of Southern Maryland,Non-credit Certificate [No Data],N/A
College of Southern Maryland,AAS Degree,42.1%
College of Southern Maryland,Associate Degree,22.2%
College of Southern Maryland,Not Specified,34.2%
Community College of Baltimore County,Certificate,6.5%
Community College of Baltimore County,Non-credit Certificate [No Data],N/A
Community College of Baltimore County,AAS Degree,16.7%
Community College of Baltimore County,Associate Degree,35.7%
Frederick Community College,Certificate,12.0%
Frederick Community College,AAS Degree,17.6%
Frederick Community College,Associate Degree,27.4%
Garrett College,Certificate,20.0%
Garrett College,Non-credit Certificate,33.3%
Garrett College,AAS Degree,28.4%
Garrett College,Associate Degree [No Data],N/A
Hagerstown Community College,Certificate,9.4%
Hagerstown Community College,AAS Degree,4.0%
Hagerstown Community College,Associate Degree,5.9%
Hagerstown Community College,Not Specified,3.2%
Harford Community College,Certificate,11.8%
Harford Community College,Associate Degree,7.6%
Harford Community College,Not Specified,9.1%
Howard Community College,Certificate,6.8%
Howard Community College,Non-credit Certificate [No Data],N/A
Howard Community College,AAS Degree,3.6%
Howard Community College,Associate Degree,8.3%
Howard Community College,Not Specified,1.1%
Montgomery College,Certificate,21.5%
Montgomery College,AAS Degree,45.3%
Montgomery College,Associate Degree,38.6%
Montgomery College,Not Specified,24.3%
Prince George's Community College,Non-credit Certificate [No Data],N/A
Wor-Wic Community College,Certificate,12.0%
Wor-Wic Community College,AAS Degree,25.0%
Wor-Wic Community College,Associate Degree,12.0%
Wor-Wic Community College,Not Specified,24.1%
